iter	Logloss
0	0.3609899216
1	0.2034037026
2	0.1093942355
3	0.06104004468
4	0.03683955478
5	0.02317286701
6	0.01571916423
7	0.01122525848
8	0.008391897945
9	0.006629334185
10	0.005499085411
11	0.00475385977
12	0.004193916933
13	0.003825270692
14	0.003585871056
15	0.003334754904
16	0.003152690297
17	0.003016080007
18	0.002912718814
19	0.002817905185
20	0.002758435973
21	0.002694352157
22	0.002645037964
23	0.002610165463
24	0.002574393168
25	0.002539885557
26	0.002515808649
27	0.002466397154
28	0.002440520124
29	0.002403518018
30	0.002352674833
31	0.002338673798
32	0.002326593032
33	0.002293804639
34	0.002255381995
35	0.002226589974
36	0.002212173229
37	0.002188461436
38	0.002178261435
39	0.002150729576
40	0.002140849587
41	0.002132256084
42	0.00210238856
43	0.002085184943
44	0.002076902655
45	0.002059439078
46	0.00204829254
47	0.002024176058
48	0.002017956719
49	0.002000231336
50	0.001988931401
51	0.001977213422
52	0.001952529285
53	0.001938905803
54	0.001920512663
55	0.001900085764
56	0.001889764865
57	0.00187635981
58	0.001870785812
59	0.00185449241
60	0.001845763038
61	0.00183547882
62	0.001824051829
63	0.001806578103
64	0.001794246925
65	0.00178544147
66	0.001769507179
67	0.001752066716
68	0.001744883671
69	0.001737224496
70	0.00173065996
71	0.001721872854
72	0.001710314367
73	0.001697317361
74	0.001692740564
75	0.001688330293
76	0.001682684818
77	0.001678958878
78	0.001670371791
79	0.001665420923
80	0.001660101475
81	0.001651359363
82	0.001647035208
83	0.001640727657
84	0.001636468947
85	0.0016248362
86	0.001612423834
87	0.001610388812
88	0.001605226809
89	0.001599585966
90	0.001587709261
91	0.001582213638
92	0.001574197693
93	0.001566745753
94	0.001559579233
95	0.001556800988
96	0.001550828799
97	0.001542191532
98	0.001535240484
99	0.001528630116
100	0.001524031959
101	0.001517623539
102	0.001514502603
103	0.001497356194
104	0.001493224387
105	0.001486201265
106	0.00147751401
107	0.001472875316
108	0.001469174078
109	0.001462312866
110	0.001457320546
111	0.001452402799
112	0.001435202469
113	0.00143250368
114	0.001420206029
115	0.001415208234
116	0.001410086081
117	0.001405985627
118	0.001390566829
119	0.001382242796
120	0.001376054266
121	0.001368612802
122	0.001365148784
123	0.001356342929
124	0.001352608083
125	0.001345805426
126	0.001342663094
127	0.001337156624
128	0.001334978367
129	0.001332398927
130	0.001326446276
131	0.001321003929
132	0.001318294194
133	0.00131312902
134	0.001310530638
135	0.001307791461
136	0.001302712879
137	0.00129237306
138	0.001286206763
139	0.00127751883
140	0.001273970722
141	0.001272107241
142	0.001268759762
143	0.001266247301
144	0.001262303272
145	0.001258986062
146	0.001251909752
147	0.001243430341
148	0.001241994779
149	0.001231255625
150	0.001227659465
151	0.001216596407
152	0.001214305559
153	0.001204419498
154	0.001200501517
155	0.001197149165
156	0.001194045041
157	0.00119213492
158	0.001190407234
159	0.001188731014
160	0.001185090852
161	0.001183657287
162	0.001182089194
163	0.001178579059
164	0.001174176769
165	0.001160605333
166	0.001152854724
167	0.001151713907
168	0.001149352358
169	0.001146719079
170	0.001143731051
171	0.001140886374
172	0.001139702348
173	0.001135413885
174	0.001132980594
